अ a
यकीन yakIn
यकीनी yakInI
यकृत yakRt
यकृल्लोम yakRllom
यक्का yakkA
यक्ष yakष
यक्षण yakषaण
यक्षता yakषatA
यक्षत्व yakषatwa
यक्षप yakषap
यक्षमा yakषamA
यक्षांगी yakषAqgI
यक्षाधिप yakषAधip
यक्षाधिपति yakषAधipti
यक्षामलक yakषAmlak
यक्षावास yakषAwAs
यक्षिणी yakषiणI
यक्षी yakषI
यक्षु yakषu
यक्षेद्र yakषEdr
यक्षेश्वर yakषEशwar
यक्ष्मग्रह yakषmagrah
यक्ष्मध्नी yakषmaधnI
यक्ष्मा yakषmA
यक्ष्मि yakषmi
यक्ष्मिका yakषmikA
यक्ष्मिकीय yakषmikIya
यक्ष्मी yakषmI
यख yaख
यखनी yaखnI
यगण yagaण
यगानगी yagAngI
यगानत yagAnat
यगाना yagAnA
यगूर yagUr
यग्ग yagg
यच्छ yacC
यच्छिनी yacCinI
यज yaj
यजत yajat
यजति yajti
यजत्र yajatr
यजन yajan
यजनी yajnI
यजमान yajmAn
यजमान yajmAn
यजमानता yajmAntA
यज़ीद yazId
यजि yaji
यजुः yajuH
यजुर्विद yajurwid
यजुर्वेद yajurwEd
यजुर्वेदी yajurwEdI
यजुश्रुति yajuशruti
यजुष yajuष
यजुष्पति yajuषpati
यजुष्य yajuषya
यजूवर yajUwar
यज्ञ yajञ
यज्ञ yajञ
यज्ञकर्म yajञakarm
यज्ञकारी yajञakArI
यज्ञमय yajञamaya
यज्ञवाही yajञawAhI
यज्ञसेन yajञasEn
यज्ञांग yajञAqg
यज्ञांगा yajञAqgA
यज्ञागार yajञAgAr
यज्ञाग्नि yajञAgni
यज्ञात्मा yajञAtmA
यज्ञाधिपति yajञAधipti
यज्ञारि yajञAri
यज्ञिक yajञik
यज्ञीय yajञIya
यज्ञेश्वर yajञEशwar
यज्ञोपवीत yajञopwIt
यज्ञोपवीत yajञopwIt
यज्यु yajyu
यज्वा yajwA
यट्र yaटr
यट्रा yaटrA
यडर yaडar
यत yat
यतन yatan
यतनीय yatnIya
यतमान yatmAn
यतात्मा yatAtmA
यति yati
यतित्व yatitwa
यतिनी yatinI
यती yatI
यतींद्र yatIqdr
यतीन्द्र yatIndr
यतीम yatIm
यतीमी yatImI
यतुका yatukA
यतेंद्रिय yatEqdriya
यत् yat
यत्किंचित yatkiqcit
यत्तु yattu
यत्न yatn
यत्नवान् yatnawAn
यत्र yatr
यत्रं yatraq
यत्रतत्रिक yatratatrik
यत्रा yatrA
यत्रु yatru
यथा yaथA
यथा yaथA
यथांश yaथAqश
यथाकाम yaथAkAm
यथाकामी yaथAkAmI
यथाकारी yaथAkArI
यथाक्रम yaथAkram
यथाख्यात yaथAखyAt
यथाजात yaथAjAt
यथातथ्य yaथAtaथya
यथातथ्यतः yaथAtaथyataH
यथानुक्रम yaथAnukram
यथानुपात yaथAnupAt
यथानुपाती yaथAnupAtI
यथापूर्व yaथApUrwa
यथाभाग yaथABAg
यथायोग्य yaथAyogya
यथारथ yaथAraथ
यथारीति yaथArIti
यथारुचि yaथAruci
यथार्त yaथArt
यथार्थ yaथArथ
यथार्थ yaथArथ
यथार्थतः yaथArथataH
यथार्थता yaथArथatA
यथार्थपूर्ण yaथArथapUrण
यथार्थमापी yaथArथamApI
यथार्थवाद yaथArथawAd
यथार्थवादिता yaथArथawAditA
यथार्थवादी yaथArथawAdI
यथालब्ध yaथAlabध
यथालाभ yaथAlAB
यथावत yaथAwat
यथावत् yaथAwat
यथावस्थित yaथAwasथit
यथाविधि yaथAwiधi
यथाविहित yaथAwihit
यथाशक्यशीघ्र yaथAशakyaशIघr
यथाशब्द yaथAशabd
यथासंख्य yaथAsaqखya
यथासंशोधित yaथAsaqशoधit
यथासमय yaथAsmaya
यथासम्भव yaथAsamBawa
यथासवर yaथAswar
यथास्थिति yaथAsथiti
यथा—कृत yaथAkRt
यथा—क्रम yaथAkram
यथा—नियम yaथAniyam
यथिका yaथikA
यथेच्छ yaथEcC
यथेच्छचारी yaथEcCacArI
यथेच्छाचार yaथEcCAcAr
यथेच्छित yaथEcCit
यथेष्ट yaथEषट
यथेष्टाचरण yaथEषटAcraण
यथेष्टाचार yaथEषटAcAr
यथेष्टाचारी yaथEषटAcArI
यथैष्ट yaथऐषट
यथोक्त yaथokt
यथोक्तकारी yaथoktakArI
यथोचित yaथocit
यथोपयुक्त yaथopyukt
यदपि yadpi
यदा yadA
यदा yadA
यदि yadi
यदि yadi
यदिच yadic
यदिचेत yadicEt
यदीय yadIya
यदु yadu
यदुराई yadurAI
यदुराज yadurAj
यदुराट yadurAट
यदुवंश yaduwaqश
यदुवंशज yaduwaqशaj
यदुवंशी yaduwaqशI
यदृच्छया yadRcCayA
यदृच्छयाभिज्ञ yadRcCayABijञ
यदृच्छा yadRcCA
यदृत्तम yadRttam
यद्गार yadgAr
यद्यपि yadyapi
यद्यपि yadyapi
यद्वातद्वा yadwAtadwA
यन yan
यनिसेई yanisEI
यन्ट्र yanटr
यन्ट्रचालित yanटracAlit
यन्ट्रणा yanटraणA
यन्ट्रनिर्मित yanटranirmit
यन्ट्रफलक yanटraPalak
यन्त yant
यन्ती yantI
यन्त्र yantr
यन्त्र yantr
यन्त्रयन्त्रयन्त्र yantrayantrayantr
यन्त्रर yantrar
यन्त्रवत् yantrawat
यन्त्रों yantroq
यपी yapI
यम yam
यमक yamak
यमकात yamkAt
यमकातर yamkAtar
यमकिंकारों yamkiqkAroq
यमज yamaj
यमजात yamjAt
यमजित् yamjit
यमत्व yamatwa
यमदंड yamdaqड
यमदग्नि yamdagni
यमदुतिया yamdutiyA
यमदूतक yamdUtak
यमनाह yamnAh
यमनिका yamnikA
यमनी yamnI
यमपुरी yampurI
यमया yamyA
यमराज yamrAj
यमल yamal
यमलार्जुन yamlArjun
यमली yamlI
यमलोक yamlok
यमसू yamsU
यमहंता yamhaqtA
यमांतक yamAqtak
यमातिशत्र yamAtiशatr
यमादित्य yamAditya
यमानिका yamAnikA
यमानी yamAnI
यमानुजा yamAnujA
यमारि yamAri
यमालय yamAlya
यमित yamit
यमी yamI
यमुना yamunA
यमुना yamunA
यमुनाभिद् yamunABid
यमुनोत्तरी yamunottrI
यमुनोत्री yamunotrI
यमेश yamEश
यमेश्वर yamEशwar
यम् yam
ययाति yayAti
ययावर yayAwar
ययी yayI
ययु yayu
यरकान yarkAn
यरकानी yarkAnI
यर्क yark
यर्थार्थ yarथArथ
यलगार yalgAr
यलधीस yalधIs
यलनाथ yalnAथ
यला yalA
यलाइंद yalAiqd
यलापत yalApat
यलो yalo
यल्टोपिया yalटopiyA
यव yawa
यवक yawak
यवक्य yawakya
यवज yawaj
यवतमाल yawtamAl
यवन yawan
यवन yawan
यवनाचार्य yawnAcArya
यवनानी yawnAnI
यवनारि yawnAri
यवनाल yawnAl
यवनालज yawnAlaj
यवनिका yawnikA
यवनी yawnI
यवनेष्ट yawnEषट
यवमती yawamtI
यवमत्यक yawmatyak
यवरस yawras
यवस yawas
यवा yawA
यवागू yawAgU
यवाग्र yawAgr
यवाग्रज yawAgraj
यवान yawAn
यवानिका yawAnikA
यवाम्ल yawAml
यवाश yawAश
यवास yawAs
यविरा yawirA
यविष्ठ yawiषठ
यवीनर yawInar
यवीयान् yawIyAn
यवोद्भव yawodBawa
यव्य yawya
यव्यावती yawyAwtI
यश yaश
यशद yaशad
यशदकार yaशdakAr
यशदधर yaशdaधar
यशदयुक्त yaशdayukt
यशदाभ yaशdAB
यशदी yaशdI
यशदीकरण yaशdIkraण
यशदीय yaशdIya
यशब yaशab
यशम yaशam
यशस्कर yaशaskar
यशस्काम yaशaskAm
यशस्य yaशasya
यशस्वान् yaशaswAn
यशस्विनी yaशaswinI
यशस्वी yaशaswI
यशस्वी yaशaswI
यशा yaशA
यशी yaशI
यशील yaशIl
यशुमति yaशumti
यशोदा yaशodA
यशोदा yaशodA
यशोधर yaशoधar
यशोधरा yaशoधrA
यशोधरेय yaशoधrEya
यशोमति yaशomti
यशोमती yaशomtI
यशोमत्य yaशomatya
यशोमाधव yaशomAधwa
यश्माक yaशmAk
यष्टव्य yaषटawya
यष्टि yaषटi
यष्टिक yaषटik
यष्टिका yaषटikA
यष्टी yaषटI
यष्ठि yaषठi
यस्क yask
यस्क yask
यह yah
यह yah
यहाँ yahAM
यहाँ yahAM
यहां yahAq
यहि yahi
यहिज yahij
यहिया yahiyA
यही yahI
यही yahI
यहीं yahIq
यहीं yahIq
यहुदी yahudI
यहूद yahUd
यहूदियों yahUdiyoq
यहूदी yahUdI
यहूदीवाद yahUdIwAd
यहूयहू yahUyhU
या yA
या yA
याँ yAM
याँचना yAMcnA
याँचा yAMcA
यांग yAqg
यांट्रिक yAqटrik
यांत्रिक yAqtrik
यांत्रिकी yAqtrikI
यांत्रिकीय yAqtrikIya
याक yAk
याक yAk
याकूज़ा yAkUzA
याकूत yAkUt
याकूती yAkUtI
याक्ष्मिक yAkषmik
याक्ष्मिकी yAkषmikI
याग yAg
याचक yAcak
याचकता yAcaktA
याचन yAcan
याचना yAcnA
याचमान yAcmAn
याचिका yAcikA
याचिका yAcikA
याचिकाएं yAcikAEq
याचित yAcit
याचितक yAcitak
याचिततः yAcittaH
याचिष्णु yAciषणu
याच्य yAcya
याज yAj
याजक yAjak
याजकीय yAjkIya
याजन yAjan
याज़ yAz
याजि yAji
याजी yAjI
याजुष yAjuष
याजुषी yAjuषI
याजूज yAjUj
याज् yAj
याज्ञ yAjञ
याज्ञतूर yAjञatUr
याज्ञदत्ति yAjञadatti
याज्ञवल्क्य yAjञawalkya
याज्ञसेनी yAjञasEnI
याज्ञिक yAjञik
याज्य yAjya
याट्रा yAटrA
याट्राआ yAटrAA
याट्राधिकार yAटrAधikAr
याट्रियों yAटriyoq
याट्री yAटrI
याण yAण
यात yAt
यातन yAtan
यातना yAtnA
यातना yAtnA
यातनाएँ yAtnAEM
यातनाओं yAtnAoq
यातनाग्रस्त yAtnAgrast
यातव्य yAtawya
याता yAtA
यातायात yAtAyAt
यातायात yAtAyAt
यातु yAtu
यातुधान yAtuधAn
यातुध्न yAtuधn
यात्निक yAtnik
यात्रा yAtrA
यात्रा yAtrA
यात्राएँ yAtrAEM
यात्राएँ yAtrAEM
यात्राएं yAtrAEq
यात्राओं yAtrAoq
यात्राकली yAtrAklI
यात्राक्रम yAtrAkram
यात्राधिदेय yAtrAधidEya
यात्रायात्रायात्रा yAtrAyAtrAyAtrA
यात्रायोग्य yAtrAyogya
यात्रावाल yAtrAwAl
यात्राविवरण yAtrAwiwraण
यात्रावृत्त yAtrAwRtt
यात्रावृत्त् yAtrAwRtt
यात्रिक yAtrik
यात्रियों yAtriyoq
यात्री yAtrI
यात्री yAtrI
यात्रीगण yAtrIgaण
यात्रीयों yAtrIyoq
यात्रीसूची yAtrIsUcI
याथातथ्य yAथAtaथya
याद yAd
याद yAd
यादःपति yAdHpti
यादगार yAdgAr
यादगारी yAdgArI
याददाश्त yAddAशt
याददाश्त yAddAशt
यादव yAdwa
यादवी yAdwI
यादवीय yAdwIya
यादवों yAdwoq
यादाश्त yAdAशt
यादु yAdu
यादृच्छिक yAdRcCik
यादृश yAdRश
यादें yAdEq
यादों yAdoq
यादौं yAdऔq
याद् yAd
याद्व yAdwa
यान yAn
यान yAn
यानपीठ yAnpIठ
यानि yAni
यानिक yAnik
यानी yAnI
यानी yAnI
याने yAnE
याने yAnE
यान्त्रिकत्व yAntrikatwa
यापन yApan
यापना yApnA
यापनीय yApnIya
याप्ता yAptA
याप्य yApya
याफ्त yAPt
याफ्तनी yAPtanI
याफ्ता yAPtA
याब yAb
याबी yAbI
याबू yAbU
याभ yAB
याम yAm
यामक yAmak
यामकिनी yAmkinI
यामर yAmar
यामल yAmal
यामवती yAmawtI
यामा yAmA
यामाता yAmAtA
यामायन yAmAyan
यामार्द्ध yAmArdध
यामि yAmi
यामिक yAmik
यामिका yAmikA
यामित्र yAmitr
यामिन yAmin
यामिनी yAminI
यामीर yAmIr
यामुन yAmun
यामुनेष्टक yAmunEषटak
यामेय yAmEya
यामोसूक्रो yAmosUkro
याम्य yAmya
याम्या yAmyA
याम्यायन yAmyAyan
याम्योत्तर yAmyottar
यायानान्तरण yAyAnAntaraण
यायावर yAyAwar
यायी yAyI
यार yAr
यार yAr
यारकंद yArkaqd
यारमंद yArmaqd
यारमंदी yArmaqdI
याराना yArAnA
यारि yAri
यारिन yArin
यारी yArI
यार्कायन yArkAyan
यार्ड yArड
याल yAl
याव yAwa
यावक yAwak
यावज्जीवन yAwajjIwan
यावत् yAwat
यावन yAwan
यावनक yAwnak
यावनाल yAwnAl
यावनाली yAwnAlI
यावनी yAwnI
यावर yAwar
यावरी yAwrI
यावशुक yAwशuk
यावस yAwas
यावा yAwA
यावास yAwAs
याविक yAwik
यावी yAwI
याशु yAशu
याष्टीक yAषटIk
यास yAs
यासमन yAsman
यासमीन yAsmIn
यासु yAsu
यासेर yAsEr
यासेर yAsEr
यास्क yAsk
यास्कायनि yAskAyni
याहि yAhi
याहू yAhU
याह्वे yAhwE
यिन yin
यियक्षु yiyakषu
यियप्सु yiyapsu
यियासा yiyAsA
यीशु yIशu
यीस्ट yIsट
यीस्टयुक्त yIsटayukt
युंगाशक yuqgAशak
युंजान yuqjAn
युंजानक yuqjAnak
युआन yuAn
युआन yuAn
युआनफ़्रैन yuAnafrऐn
युकलिप्टस yuklipटas
युक्त yukt
युक्त yukt
युक्ता yuktA
युक्ताक्षर yuktAkषar
युक्तार्थ yuktArथ
युक्ति yukti
युक्ति yukti
युक्तिकर yuktikar
युक्तिचाल yukticAl
युक्तिपूर्ण yuktipUrण
युक्तिपूर्वक yuktipUrwak
युक्तियुक्त yuktiyukt
युक्तियों yuktiyoq
युक्तिवाद yuktiwAd
युक्तिसंगत yuktisaqgat
युखारिस्थ yuखArisथ
युखारिस्थीय yuखArisथIya
युग yug
युग yug
युगंकर yugaqkar
युगंधर yugaqधar
युगअ yugaa
युगचेतना yugcEtnA
युगति yugti
युगपत् yugpat
युगप्रवर्तक yugaprawartak
युगम yugam
युगल yugal
युगलक yuglak
युगलाख्य yuglAखya
युगसंधि yugsaqधi
युगांडाई yugAqडAI
युगांत yugAqt
युगांतक yugAqtak
युगांतकारी yugAqtakArI
युगांतर yugAqtar
युगांतरकारी yugAqtarakArI
युगांतर्कारी yugAqtarkArI
युगात्मा yugAtmA
युगादि yugAdi
युगादिकृत् yugAdikRt
युगाद्या yugAdyA
युगान्तरकारी yugAntarakArI
युगावतार yugAwtAr
युगीन yugIn
युगेश yugEश
युगों yugoq
युगोपरि yugopri
युग् yug
युग्म yugm
युग्मअ yugmaa
युग्मक yugmak
युग्मज yugmaj
युग्मजन yugmajan
युग्मजनता yugmajantA
युग्मतारा yugmatArA
युग्मन yugman
युग्मनज yugmanaj
युग्मांगुलि yugmAqguli
युग्मांगुलीय yugmAqgulIya
युग्मांजन yugmAqjan
युग्माणु yugmAणu
युग्मेच्छा yugmEcCA
युग्य yugya
युग्याह yugyAh
युजुष्पात्र yujuषpAtr
युज्य yujya
युत yut
युतक yutak
युति yuti
युद्द yudd
युद्ध yudध
युद्ध yudध
युद्धअ yudधaa
युद्धक yudधak
युद्धकला yudधaklA
युद्धकारी yudधakArI
युद्धकालीन yudधakAlIn
युद्धक्षेत्र yudधakषEtr
युद्धग्रस्त yudधagrast
युद्धजित yudधajit
युद्धनाद yudधanAd
युद्धनीति yudधanIti
युद्धपूर्व yudधapUrwa
युद्धपोत yudधapot
युद्धबंदी yudधabaqdI
युद्धबन्दीई yudधabandII
युद्धभ yudधaB
युद्धभुमि yudधaBumi
युद्धमय yudधamaya
युद्धमान yudधamAn
युद्धरत yudधarat
युद्धविद्या yudधawidyA
युद्धविराम yudधawirAm
युद्धविराम yudधawirAm
युद्धस्थगन yudधasथagan
युद्धस्थल yudधasथal
युद्धस्थिति yudधasथiti
युद्धाचार्य yudधAcArya
युद्धाभ्यास yudधAByAs
युद्धाश्व yudधAशwa
युद्धोत्तर yudधottar
युद्धोत्तेजक yudधottEjak
युद्धोन्मत्त yudधonmatt
युद्धोपकरण yudधopkaraण
युधाजित् yuधAjit
युधान yuधAn
युधामन्यु yuधAmanyu
युधिक yuधik
युधिष्ठिर yuधiषठir
युधिष्ठिर yuधiषठir
युध्द yuधd
युध्द yuधd
युध्दबन्दी yuधdabandI
युध्द्भूमि yuधdBUmi
युध्म yuधm
युध्य yuधya
युनानी yunAnI
युनिक्स yuniks
युनिट yuniट
युनिवर्सिटी yuniwarsiटI
युनेस्को yunEsko
युप्य yupya
युबंटू yubaqटU
युबा yubA
युमना yumnA
युयु yuyu
युयुक्षमान yuyukषamAn
युयुत्मु yuyutmu
युयुत्सा yuyutsA
युयुधान yuyuधAn
युरोप yurop
युरोपियन yuropiyan
युरोपीय yuropIya
युल yul
युव yuwa
युवक yuwak
युवक yuwak
युवको yuwko
युवकों yuwkoq
युवकों yuwkoq
युवति yuwti
युवति yuwti
युवती yuwtI
युवती yuwtI
युवतीष्टा yuwtIषटA
युवनाश्व yuwnAशwa
युवराई yuwrAI
युवराज yuwrAj
युवराज yuwrAj
युवराजत्व yuwrAjatwa
युवराजी yuwrAjI
युवराज्ञी yuwrAjञI
युवरानी yuwrAnI
युवा yuwA
युवा yuwA
युवाओं yuwAoq
युवाओं yuwAoq
युवावस्था yuwAwasथA
युवावस्था yuwAwasथA
युष्मदीय yuषmadIya
यू yU
यू yU
यूँ yUM
यूँ yUM
यूँही yUMhI
यूं yUq
यूक yUk
यूकलेले yUklElE
यूका yUkA
यूकाग्रस्तता yUkAgrastatA
यूकेलिप्टस yUkElipटas
यूकैस yUkऐs
यूगोस्लाविया yUgoslAwiyA
यूजर yUjar
यूज़र yUzar
यूजीन yUjIn
यूजीनिया yUjIniyA
यूटोपिया yUटopiyA
यूटोपिया yUटopiyA
यूडोरा yUडorA
यूति yUti
यूथ yUथ
यूथक yUथak
यूथग yUथag
यूथचर yUथcar
यूथचारी yUथcArI
यूथप yUथap
यूथपाल yUथpAl
यूथिक yUथik
यूथिका yUथikA
यूथी yUथI
यूथेनासिया yUथEnAsiyA
यूनक yUnak
यूनाइटेड yUnAiटEड
यूनाइटेड yUnAiटEड
यूनान yUnAn
यूनानि yUnAni
यूनानी yUnAnI
यूनिकर्न yUnikarn
यूनिक्राइ yUnikrAi
यूनिक्स yUniks
यूनिट yUniट
यूनिट yUniट
यूनिटर्ड yUniटarड
यूनिटार yUniटAr
यूनिडिर yUniडir
यूनिडो yUniडo
यूनिफ़िकेशन yUnifikEशan
यूनिफ़ेम yUnifEm
यूनियन yUniyan
यूनियन yUniyan
यूनिवर्सिटी yUniwarsiटI
यूनिवर्सिटी yUniwarsiटI
यूनिसेफ़ yUnisEf
यूनीइमैजिनरी yUnIimऐjinrI
यूनीफार्म yUnIPArm
यूनीसेफ़ yUnIsEf
यूनीफ़ार्म yUnIfArm
यूनेस्को yUnEsko
यूनेस्को yUnEsko
यूप yUp
यूपक yUpak
यूपद्रु yUpadru
यूपा yUpA
यूपांग yUpAqg
यूपाहुति yUpAhuti
यूपीए yUpIE
यूबर yUbar
यूयू yUyU
यूयूयूयूयूयूयूयूयूयूयू yUyUyUyUyUyUyUyUyUyUyU
यूरप yUrap
यूरल yUral
यूरली yUrlI
यूरल्स yUrals
यूराल yUrAl
यूरिया yUriyA
यूरीमिया yUrImiyA
यूरेनस yUrEnas
यूरेनियम yUrEniyam
यूरेनियम yUrEniyam
यूरेनिया yUrEniyA
यूरेन्सअ yUrEnsaa
यूरेमस yUrEmas
यूरेशियन yUrEशiyan
यूरो yUro
यूरो yUro
यूरोप yUrop
यूरोप yUrop
यूरोपवासी yUropwAsI
यूरोपी yUropI
यूरोपीय yUropIya
यूरोपीय yUropIya
यूरोपीयन yUropIyan
यूरोसिस्टिस yUrosisटis
यूल yUl
यूलटाइड yUlटAiड
यूष yUष
यूसीएलए yUsIElaE
यूसुफ yUsuP
यूह yUh
यूॅही yUऍhI
ये yE
ये yE
येई yEI
येऊ yEU
येट्स yEटs
येती yEtI
येतो yEto
येदरलुण्ड yEdraluणड
येन yEn
येमन yEman
येल yEl
येशु yEशu
येहू yEhU
यैंक yऐqk
यैंकी yऐqkI
यैंग्ट्सी yऐqgटsI
यॉर्क yऑrk
यॉर्कशयर yऑrkaशyar
यो yo
यो yo
योँ yoM
यों yoq
यों yoq
योउग्य yougya
योक yok
योकोहामा yokohAmA
योक्तव्य yoktawya
योक्ता yoktA
योक्त्र yoktr
योग yog
योगंधर yogaqधar
योगकी yogkI
योगचर yogcar
योगज yogaj
योगदाता yogdAtA
योगदान yogdAn
योगदान yogdAn
योगदानकर्ता yogdAnkartA
योगफल yogPal
योगमय yogmaya
योगमापी yogmApI
योगवान् yogwAn
योगवाही yogwAhI
योगविद् yogwid
योगव्राह yogawrAh
योगांग yogAqg
योगांजन yogAqjan
योगांतराय yogAqtarAya
योगांता yogAqtA
योगाकर्षण yogAkarषaण
योगागम yogAgam
योगाचार yogAcAr
योगात्मक yogAtmak
योगात्मा yogAtmA
योगानुशासन yogAnuशAsan
योगापत्ति yogApatti
योगाभ्यास yogAByAs
योगाभ्यासी yogAByAsI
योगारंग yogAraqg
योगाराधन yogArAधan
योगारूढ़ yogArUT
योगासन yogAsan
योगि yogi
योगिका yogikA
योगित yogit
योगिता yogitA
योगित्व yogitwa
योगिनी yoginI
योगिया yogiyA
योगिराज yogirAj
योगी yogI
योगींद्र yogIqdr
योगीनाथ yogInAथ
योगीश yogIश
योगीश्वर yogIशwar
योगीश्वरी yogIशwarI
योगेंद्र yogEqdr
योगेन्द्र yogEndr
योगेश yogEश
योगेश्वर yogEशwar
योगेश्वरत्व yogEशwaratwa
योगेश्वरी yogEशwarI
योगेष्ट yogEषट
योग्य yogya
योग्य yogya
योग्यता yogyatA
योग्यताहीन yogyatAhIn
योग्यत्व yogyatwa
योग्या yogyA
योजक yojak
योजन yojan
योजना yojnA
योजना yojnA
योजनाएँ yojnAEM
योजनाएं yojnAEq
योजनाओं yojnAoq
योजनाओं yojnAoq
योजनाबद्ध yojnAbadध
योजनालय yojnAlya
योजनीय yojnIya
योजिका yojikA
योजित yojit
योजी yojI
योज्य yojya
योत्र yotr
योद्धव्य yodधawya
योद्धा yodधA
योद्धाओं yodधAoq
योध yoध
योधक yoधak
योधन yoधan
योधा yoधA
योधि yoधi
योधी yoधI
योध्य yoधya
योनल yonal
योनि yoni
योनिक yonik
योनिच्छद yonicCad
योनिज yonij
योनिन्यास yoninyAs
योनिमुख yonimuख
योनिमुखीय yonimuखIya
योनिवादी yoniwAdI
योनिशुलध्नी yoniशulaधnI
योनिशोथ yoniशoथ
योन्यर्श yonyarश
योन्हैप yonhऐp
योम yom
योय्ग yoyg
योरोप yorop
योरोपियन yoropiyan
योर्गेंसन yorgEqsan
योषा yoषA
योषित yoषit
योषिता yoषitA
योषित् yoषit
योषित्प्रिया yoषitpriyA
यौ yऔ
यौक्तिक yऔktik
यौग yऔg
यौगंधर yऔgaqधar
यौगंधरायण yऔgaqधarAyaण
यौगक yऔgak
यौगिक yऔgik
यौगिकीकरण yऔgikIkraण
यौजनिक yऔjnik
यौतक yऔtak
यौतुक yऔtuk
यौथिक yऔथik
यौथिकी yऔथikI
यौद्धिक yऔdधik
यौध yऔध
यौधेय yऔधEya
यौन yऔn
यौन yऔn
यौनकी yऔnkI
यौनता yऔntA
यौनांग yऔnAqg
यौनाकर्षण yऔnAkarषaण
यौर्क yऔrk
यौर्कशर yऔrkaशar
यौवत yऔwat
यौवतेय yऔwtEya
यौवन yऔwan
यौवना yऔwnA
यौवनाधिरूढ़ा yऔwnAधirUTA
यौवनारंभ yऔwnAraqB
यौवनावस्था yऔwnAwasथA
यौवनाश्व yऔwnAशwa
यौवनिक yऔwnik
यौवनोन्मुख yऔwnonmuख
यौवराजिक yऔwrAjik
यौवराज्य yऔwrAjya
यौवराज्याभिषेक yऔwrAjyABiषEk
र ra
रँगरुट raMgruट
रँगवाना raMgwAnA
रँगाई raMgAI
रँगामेज़ी raMgAmEzI
रँगावतारी raMgAwtArI
रँगे raMgE
रँडवा raMडwA
रँडापा raMडApA
रँडुआ raMडuA
रँडुवा raMडuwA
रँडोरी raMडorI
रँदना raMdnA
रँभाना raMBAnA
रंक raqk
रंकु raqku
रंग raqg
रंग raqg
रंग_बिरंगा raqgayabiraqgA
रंगअ raqgaa
रंगई raqgaI
रंगकलाएँ raqgakalAEM
रंगकार raqgakAr
रंगकुल raqgakul
रंगगृह raqgagRh
रंगज raqgaj
रंगढंग raqgaढaqg
रंगत raqgat
रंगत raqgat
रंगतअ raqgataa
रंगतरा raqgatrA
रंगते raqgatE
रंगद raqgad
रंगदा raqgadA
रंगदानी raqgadAnI
रंगदार raqgadAr
रंगदुनी raqgadunI
रंगदृढ़ा raqgadRTA
रंगद्रव्य raqgadrawya
रंगन raqgan
रंगना raqganA
रंगनाथ raqganAथ
रंगने raqganE
रंगपटल raqgapटal
रंगपट्टिका raqgapaटटikA
रंगपत्री raqgapatrI
रंगपीठ raqgapIठ
रंगपुष्पी raqgapuषpI
रंगबंधक raqgabaqधak
रंगबाज raqgabAj
रंगबाजी raqgabAjI
रंगबिरंगा raqgabiraqgA
रंगबिरंगापन raqgabiraqgApan
रंगबिरंगे raqgabiraqgE
रंगबीज raqgabIj
रंगभवन raqgaBawan
रंगभूमि raqgaBUmi
रंगभेद raqgaBEd
रंगमंच raqgamaqc
रंगमंच raqgamaqc
रंगमंचीय raqgamaqcIya
रंगमहल raqgamahal
रंगमाता raqgamAtA
रंगरलिया raqgaraliyA
रंगरलियाँ raqgaraliyAM
रंगरलियां raqgaraliyAq
रंगरली raqgarlI
रंगरहित raqgarahit
रंगरुडा raqgaruडA
रंगरूट raqgarUट
रंगरूटों raqgarUटoq
रंगरेज raqgarEj
रंगरेलिया raqgarEliyA
रंगरैनी raqgarऐnI
रंगरैली raqgarऐlI
रंगलेप raqgalEp
रंगवा raqgawA
रंगवाई raqgawAI
रंगशाला raqgaशAlA
रंगशिल्प raqgaशilp
रंगसाज raqgasAj
रंगसाजी raqgasAjI
रंगसाज़ raqgasAz
रंगहीन raqgahIn
रंगहीनता raqgahIntA
रंगा raqgA
रंगा raqgA
रंगांगण raqgAqgaण
रंगांगा raqgAqgA
रंगांधता raqgAqधatA
रंगाई raqgAI
रंगाजीव raqgAjIwa
रंगाना raqgAnA
रंगार raqgAr
रंगारंग raqgAraqg
रंगारि raqgAri
रंगारे raqgArE
रंगाल raqgAl
रंगालय raqgAlya
रंगावट raqgAwaट
रंगावतारक raqgAwtArak
रंगासियार raqgAsiyAr
रंगिया raqgiyA
रंगी raqgI
रंगीन raqgIn
रंगीन raqgIn
रंगीनबाजी raqgInbAjI
रंगीनी raqgInI
रंगीनी raqgInI
रंगीरेटा raqgIrEटA
रंगीला raqgIlA
रंगीली raqgIlI
रंगून raqgUn
रंगे raqgE
रंगे raqgE
रंगैया raqgऐyA
रंगो raqgo
रंगों raqgoq
रंगों raqgoq
रंगोपजीवी raqgopjIwI
रंगोली raqgolI
रंगोली raqgolI
रंगौधी raqgऔधI
रंगौनी raqgऔnI
रंग्तअ raqgtaa
रंच raqc
रंचक raqcak
रंज raqj
रंजक raqjak
रंजकता raqjaktA
रंजकहीन raqjakahIn
रंजन raqjan
रंजनक raqjanak
रंजना raqjanA
रंजनी raqjanI
रंजनीय raqjanIya
रंजा raqjA
रंजित raqjit
रंजिश raqjiश
रंजीत raqjIt
रंजीदगी raqjIdgI
रंजीदा raqjIdA
रंझना raqJanA
रंटजेन raqटajEn
रंटजेनोग्राम raqटajEnogrAm
रंड raqड
रंडक raqडak
रंडा raqडA
रंडाश्रमी raqडAशramI
रंडिया raqडiyA
रंडी raqडI
